AF,ZA,41.202.32.0/19
AF,CI,41.202.64.0/19
AF,CI,41.202.96.0/19
AF,SD,41.202.160.0/19
AF,CM,41.202.192.0/19
AF,UG,41.202.224.0/19
AF,ZA,41.203.0.0/19
AF,ZA,41.203.32.0/19
AF,NG,41.203.64.0/19
AF,NG,41.203.96.0/19
AF,NE,41.203.128.0/19
AF,ZA,41.203.160.0/20
AF,LS,41.203.176.0/20
AF,ML,41.203.192.0/20
AF,KE,41.203.208.0/20
AF,BF,41.203.224.0/20
AF,SC,41.203.240.0/20
AF,SZ,41.204.0.0/19
AF,GH,41.204.32.0/19
AF,CM,41.204.64.0/19
AF,MG,41.204.96.0/19
AF,TZ,41.204.128.0/19
AF,KE,41.204.160.0/19
AF,ZA,41.204.192.0/19
AF,CM,41.205.0.0/19
AF,AO,41.205.32.0/19
AF,CM,41.205.64.0/19
AF,EG,41.205.96.0/19
AF,NA,41.205.128.0/19
AF,CI,41.205.160.0/19
AF,MA,41.205.192.0/19
AF,NG,41.206.0.0/19
AF,KE,41.206.32.0/19
AF,CI,41.206.64.0/19
AF,MU,41.206.96.0/19
AF,EG,41.206.128.0/19
AF,ZA,41.206.160.0/19
AF,ZA,41.206.192.0/19
AF,CI,41.206.224.0/19
AF,CI,41.207.0.0/19
AF,MG,41.207.32.0/19
AF,KE,41.207.64.0/19
AF,KE,41.207.96.0/19
AF,MU,41.207.128.0/19
AF,TG,41.207.160.0/19
AF,CI,41.207.192.0/19
AF,CI,41.207.224.0/22
AF,MU,41.207.232.0/22
AF,ZA,41.207.236.0/22
AF,TZ,41.207.240.0/21
AF,NG,41.207.248.0/22
AF,GH,41.207.252.0/22
AF,ZA,41.208.0.0/18
AF,LY,41.208.64.0/18
AF,SN,41.208.128.0/18
AF,ZA,41.208.192.0/18
AF,KE,41.209.0.0/18
AF,SD,41.209.64.0/18
AF,CI,41.209.128.0/18
AF,GH,41.210.0.0/18
AF,UG,41.210.128.0/18
AF,AO,41.210.192.0/18
AF,GH,41.211.0.0/19
AF,SZ,41.211.32.0/19
AF,MU,41.211.64.0/19
AF,CM,41.211.96.0/19
AF,GA,41.211.128.0/18
AF,CI,41.211.192.0/18
AF,KE,41.212.0.0/17
AF,MU,41.212.128.0/17
AF,ZA,41.213.0.0/17
AF,RE,41.213.128.0/17
AF,SN,41.214.0.0/17
AF,MA,41.214.128.0/17
AF,KE,41.215.0.0/17
AF,KE,41.215.128.0/20
AF,SZ,41.215.144.0/20
AF,GH,41.215.160.0/20
AF,ZM,41.215.176.0/20
AF,CI,41.215.192.0/20
AF,CV,41.215.208.0/20
AF,CI,41.215.224.0/21
AF,ZA,41.215.232.0/21
AF,EG,41.215.240.0/22
AF,NG,41.215.244.0/22
AF,MU,41.215.248.0/22
AF,CD,41.215.252.0/22
AF,CI,41.216.0.0/19
AF,BJ,41.216.32.0/19
AF,ZM,41.216.64.0/19
AF,MU,41.216.96.0/19
AF,ZA,41.216.128.0/20
AF,BF,41.216.144.0/20
AF,NG,41.216.160.0/20
AF,ZA,41.216.176.0/20
AF,ZA,41.216.192.0/20
AF,BW,41.216.208.0/21
AF,NG,41.216.216.0/21
AF,MA,41.216.224.0/22
AF,MW,41.216.228.0/22
AF,CM,41.216.232.0/22
AF,AO,41.216.236.0/22
AF,CI,41.216.240.0/20
AF,NG,41.217.0.0/17
AF,CM,41.217.148.0/22
AF,ZA,41.217.192.0/22
AF,CI,41.217.196.0/22
AF,TZ,41.217.200.0/22
AF,NG,41.217.204.0/22
AF,CI,41.217.208.0/22
AF,MU,41.217.212.0/22
AF,MW,41.217.216.0/22
AF,KE,41.217.220.0/22
AF,EG,41.217.224.0/21
AF,UG,41.217.232.0/21
AF,ZA,41.217.240.0/21
AF,CI,41.217.248.0/21
AF,SD,41.218.0.0/18
AF,NA,41.218.64.0/18
AF,EG,41.218.128.0/18
AF,GH,41.218.192.0/18
AF,SN,41.219.0.0/18
AF,NA,41.219.64.0/18
AF,NG,41.219.128.0/18
AF,CI,41.219.192.0/18
AF,UG,41.220.0.0/20
AF,ZW,41.220.16.0/20
AF,MZ,41.220.32.0/20
AF,NG,41.220.64.0/20
AF,NG,41.220.80.0/20
AF,SC,41.220.96.0/20
AF,KE,41.220.112.0/20
AF,TZ,41.220.128.0/20
AF,DZ,41.220.144.0/20
